keyword,title,channel,url,idea
株式,SMCI Stock Breaking News: FBI Scandal vs. Record Revenue Growth,Stock US Radar ,https://www.youtube.com/watch?v=U2WkH2r8bxM,✅ あり → 20260408_053747_U2WkH2r8bxM.md
株式,ウォール街が台本を書き換えた：ブラックロックの解約制限とESG後退の深層。#新NISA#株式市場#日本株,マーケットの深層構造,https://www.youtube.com/watch?v=YFpBJ6WHc6c,❌ なし
株式,日経平均、エスクリプトエナジー、ユニチカ、キオクシア,日本株ナビゲーターAの株式投資研究所,https://www.youtube.com/watch?v=GyGtsCU6gZc,❌ なし
株式,2027/4/7 ナビ•アーキテクツ株式会社一級建築士事務所設計士今井一穂様　よくこうじゃぶじゃぶパーク（YJP）レイアウト変更打ち合わせ,よくこうチャンネル,https://www.youtube.com/watch?v=QnLaitdirQk,❌ なし
株式,Ondas Holdings (ONDS) Stock: Why This Growth Is Just the Start,Stock US Radar ,https://www.youtube.com/watch?v=Bhi4j0jvzig,✅ あり → 20260408_054148_Bhi4j0jvzig.md
株式,高市首相、今夜。パルグループが最高益。ディスコは速報で急落。モジタバ師が意識不明。～あす上がる株　2026年４月８日（水）に上がる銘柄。最新の日本株情報。高配当株の株価やデイトレ情報,株リアルライブ,https://www.youtube.com/watch?v=hAT8yLP3rTw,✅ あり → 20260408_054220_hAT8yLP3rTw.md
株式,"【ハイテク・半導体株投資】26年3月 7,894円の資産ポートフォリオ公開！ 資産激減涙",米国NASDAQと共に  半導体から読むハイテク株投資,https://www.youtube.com/watch?v=-9WCc5BWgpE,✅ あり → 20260408_054315_-9WCc5BWgpE.md
株式,&quot;終わった産業&quot;にマネーが集まり始めた｜暴落の正体と日本株を動かす構造転換、はっきり解説,はっきり経済学,https://www.youtube.com/watch?v=45CWEk2o7WY,✅ あり → 20260408_054416_45CWEk2o7WY.md
株式,JX金属まとめと今後株価見通し解説,株ちゃんAI活用チャンネル,https://www.youtube.com/watch?v=EhBlCIDrNtk,✅ あり → 20260408_054524_EhBlCIDrNtk.md
株式,【地獄】FANG+ついに崩壊…-20%の真相と「今やるべき行動」を全部話します,なる / 証券外務員の配当投資ラボ,https://www.youtube.com/watch?v=X-R5T5fFqkk,✅ あり → 20260408_054708_X-R5T5fFqkk.md
株式,【上がる材料株！？】青汁王子のエスクリプトエナジーが材料でストップ高、上場廃止決定のビーマップさんが復活のストップ高、VALUNEXが4連ストップ高挑戦など！2026年4月8日（水）の日本株最新情報,お祈り株投資家フラム,https://www.youtube.com/watch?v=eV07wEcdnyw,❌ なし
株式,SOXLイラン停戦目途立たず下落懸念,株ちゃん投資情報AI,https://www.youtube.com/watch?v=LUDTshWAD_I,⏭️ スキップ
株式,【あすの株相場】4月7日(火) 米韓メモリ好調、キオクシア上昇 / 通行料3億円は高いって！ / 放電精密加工、最高益増配だが・・ / パルGは絶好調決算 /  　王子HD時間外なんか下落,株の材料屋,https://www.youtube.com/watch?v=yJMizgdFWaI,✅ あり → 20260408_055057_yJMizgdFWaI.md
株式,【緊急】明日朝イランへ大規模攻撃！？遂にゴールデンクロス！注目の投資先4選！ #米国株 #貴金属 #コモディティ,最恐投資家脱鯱 〜可変MACD×レバレッジで爆速FIRE〜,https://www.youtube.com/watch?v=6_ZMLqFYK3w,✅ あり → 20260408_055146_6_ZMLqFYK3w.md
株式,Humana Climbs; Broadcom Rises After Supply Pact With Google; Foldable iPhone Hits Engineering...,Bloomberg Podcasts,https://www.youtube.com/watch?v=WqO35BuSxwM,✅ あり → 20260408_055222_WqO35BuSxwM.md
株式,DVLT Stock Alert: First Profit Hit! Massive $3.00 Price Target?,Stock US Radar ,https://www.youtube.com/watch?v=dl2vChGJTiM,❌ なし
株式,【株 デイトレライブ】 デイトレ必須のスキルをライブで解説 4月7日 勝株アセットの株TV【SEK】,勝株アセットの株TV【SEK】,https://www.youtube.com/watch?v=YzBfm61u9fQ,❌ なし
株式,本日の寄り付き実況　（旧「今日の相場見通し」）　　－今日の気配銘柄は？－,Jean-Pierre Pyxis,https://www.youtube.com/watch?v=50_7k8ni5p0,❌ なし
株式,株式会社ONE WEDGE,忘れたくない言葉,https://www.youtube.com/watch?v=4S_G-KuY2Bc,❌ なし
株式,【北の株式投資大学】生配信オンライン講義2,【北の株式投資大学】official,https://www.youtube.com/watch?v=dxiEqPQmMFc,❌ なし
株式,【4/7米国株 MAD MONEY】米国株は本当に底打ちした？プロが教える「真の買いシグナル」と今すぐ仕込むべき1銘柄,米国株投資 - ジム・クレイマー解説,https://www.youtube.com/watch?v=-1f-n_mov2Y,✅ あり → 20260408_055920_-1f-n_mov2Y.md
株式,4.7夜ライブ🌉   緊急生放送！結局はTACOだと思われている！💡米国株投資🇺🇸,米国株ファンダメンタルズ分析家　まもる【米国株】【経済】,https://www.youtube.com/watch?v=tcz2D0q1FIo,✅ あり → 20260408_060003_tcz2D0q1FIo.md
株式,AMC Stock Surge: Record Easter Results &amp; 2026 Price Target Alert!,Stock US Radar ,https://www.youtube.com/watch?v=zvokasgjitM,✅ あり → 20260408_060054_zvokasgjitM.md
株式,APLD Stock Prediction: Massive Q3 Earnings Move Tomorrow? 🚨,Stock US Radar ,https://www.youtube.com/watch?v=GtqA1xa9On0,✅ あり → 20260408_060153_GtqA1xa9On0.md
