rank,word,count
1,銘柄,322
2,AI,239
3,決算,218
4,株価,177
5,配当,154
6,成長,131
7,日本,131
8,市場,129
9,利益,126
10,企業,125
11,半導体,125
12,関連,121
13,戦略,115
14,資産,97
15,上昇,93
16,分析,91
17,平均,88
18,リスク,82
19,日経,81
20,長期,76
21,期待,76
22,業績,73
23,増配,70
24,押し目,69
25,中長期,69
26,ポートフォリオ,68
27,米国,68
28,インフラ,66
29,発表,66
30,資金,63
31,高い,62
32,保有,61
33,検討,58
34,利回り,54
35,注目,54
36,拡大,51
37,局面,49
38,徹底,46
39,防衛,45
40,相場,44
41,速報,43
42,価格,43
43,株主,42
44,判断,42
45,調整,42
46,技術,41
47,収益,41
48,需要,40
49,暴落,40
50,評価,40
51,継続,40
52,安定,39
53,NTT,38
54,トレンド,38
55,予想,37
56,優待,37
57,ソニー,36
58,下落,35
59,短期,35
60,活用,35
61,形成,34
62,最高,34
63,割安,33
64,転換,32
65,売上,32
66,任天堂,32
67,確認,31
68,監視,30
69,金融,29
70,自社,29
71,事業,28
72,還元,28
73,金利,28
74,タイミング,28
75,製造,28
76,推奨,27
77,高値,27
78,フィジカル,27
79,向上,26
80,理由,26
81,視点,26
82,一時,26
83,セクター,26
84,ルール,25
85,運用,25
86,構造,25
87,過去,24
88,有効,24
89,ライン,24
90,重要,24
91,トヨタ,24
92,営業,23
93,構築,23
94,NISA,23
95,コスト,23
96,管理,23
97,急騰,23
98,強い,23
99,PER,22
100,減益,22
101,世界,22
102,注視,22
103,大きく,22
104,受注,22
105,分野,22
106,維持,22
107,IHI,22
108,フジクラ,22
109,変動,21
110,分散,21
111,グループ,21
112,エントリー,21
113,今日,21
114,連続,20
115,厳選,20
116,積立,20
117,考慮,20
118,最新,20
119,確定,20
120,材料,20
121,比率,19
122,動き,19
123,ボラティリティ,19
124,生活,19
125,会社,19
126,改善,19
127,ポジション,19
128,同社,19
129,キャッシュ,19
130,規模,19
131,シェア,18
132,現金,18
133,東京,18
134,恩恵,18
135,動向,18
136,水準,17
137,赤字,17
138,影響,17
139,一部,17
140,売却,17
141,産業,17
142,キオクシア,17
143,最大,17
144,時代,17
145,ナフサ,17
146,装置,17
147,経済,17
148,Stock,17
149,選定,16
150,環境,16
151,センター,16
152,強力,16
153,ビジネス,16
154,ない,16
155,急落,16
156,プロ,16
157,アドバンテスト,16
158,増益,16
159,為替,16
160,背景,15
161,財務,15
162,購入,15
163,候補,15
164,衝撃,15
165,エレクトロン,15
166,個別,15
167,傾向,15
168,トレード,15
169,モデル,15
170,権利,15
171,国内,15
172,反発,15
173,大型,15
174,強化,14
175,目標,14
176,販売,14
177,好機,14
178,残高,14
179,サービス,14
180,チャート,14
181,お金,14
182,地政学,14
183,買い,14
184,通信,14
185,指標,14
186,デイトレ,14
187,FIRE,14
188,集中,14
189,ニュース,14
190,消費,14
191,設定,13
192,機能,13
193,価値,13
194,ファンド,13
195,提携,13
196,確保,13
197,歴史,13
198,設備,13
199,テクニカル,13
200,メーカー,13
