rank,word,count
1,AI,8809
2,プラットフォーム,6532
3,ロボット,4500
4,市場,2265
5,価格,2250
6,中国,2222
7,遅れ,2214
8,台頭,2214
9,分野,141
10,需要,92
11,発言,83
12,信頼,82
13,拡大,82
14,条件,80
15,成長,79
16,技術,76
17,EV,75
18,防衛,72
19,展開,72
20,人工,71
21,産業,71
22,宇宙,70
23,象徴,69
24,衛星,69
25,始め,69
26,モビリティ,69
27,リスク,52
28,アクション,49
29,平均,49
30,期間,46
31,観察,45
32,上昇,41
33,タイプ,34
34,移動,31
35,資産,29
36,相関,28
37,戦略,27
38,関連,27
39,時間,26
40,触媒,26
41,原油,26
42,主要,26
43,推奨,24
44,ロジック,24
45,適用,23
46,前提,23
47,ラグ,22
48,株価,21
49,判断,21
50,リード,20
51,下落,19
52,保有,19
53,利益,19
54,反発,19
55,監視,18
56,長期,18
57,銘柄,18
58,短期,17
59,日経,17
60,開発,16
61,半導体,16
62,資金,16
63,維持,15
64,高値,15
65,決算,15
66,付近,15
67,局面,14
68,トレンド,14
69,押し目,14
70,相場,14
71,ゴールド,14
72,メモリ,14
73,調整,13
74,企業,13
75,期待,13
76,業績,13
77,暴落,13
78,配当,12
79,ルール,12
80,信託,12
81,中期,11
82,発表,11
83,継続,11
84,指数,11
85,増配,11
86,運賃,11
87,世界,10
88,経営,10
89,NVIDIA,10
90,利上げ,10
91,機能,10
92,運用,10
93,金利,10
94,ファンド,9
95,環境,9
96,サイクル,9
97,海外,9
98,依存,9
99,影響,9
100,連動,9
101,崩れ,9
102,個別,9
103,アンソロピック,9
104,減損,9
105,積立,9
106,支持,9
107,キオクシア,9
108,ソフトバンク,8
109,回避,8
110,中東,8
111,自動車,8
112,資源,8
113,評価,8
114,センター,8
115,セクター,8
116,不明,8
117,レジーム,8
118,確認,8
119,本業,8
120,リターン,8
121,株主,8
122,日本,7
123,情勢,7
124,ビジネス,7
125,モデル,7
126,動き,7
127,製品,7
128,高い,7
129,動向,7
130,分析,7
131,フロー,7
132,下げ止まり,7
133,サポート,7
134,契約,7
135,トヨタ,6
136,イラン,6
137,インフラ,6
138,集中,6
139,一時,6
140,高騰,6
141,連携,6
142,供給,6
143,米国,6
144,考慮,6
145,時点,6
146,地政学,6
147,シナリオ,6
148,過去,6
149,ライン,6
150,強い,6
151,材料,6
152,購入,6
153,活用,6
154,quot,6
155,インフレ,6
156,戻り,6
157,銀行,6
158,格付け,6
159,資本,6
160,複利,6
161,ストック,6
162,構想,6
163,グループ,5
164,テック,5
165,エヌビディア,5
166,航空,5
167,突破,5
168,執行,5
169,開始,5
170,更新,5
171,TOPIX,5
172,状態,5
173,直近,5
174,マイナス,5
175,キャッシュ,5
176,理由,5
177,健全,5
178,増加,5
179,ロング,5
180,日足,5
181,パニック,5
182,反映,5
183,市況,5
184,会社,5
185,長く,5
186,大きく,5
187,Nvidia,5
188,外資,5
189,水平,5
190,MA,5
191,SBI,5
192,還元,5
193,to,5
194,中止,4
195,指摘,4
196,ソフトウェア,4
197,輸入,4
198,水準,4
199,為替,4
200,クルーズ,4
