rank,word,count
1,信頼,59
2,発言,57
3,条件,51
4,市場,51
5,AI,44
6,観察,36
7,期間,33
8,相関,32
9,リスク,30
10,アクション,29
11,タイプ,27
12,企業,25
13,営業,23
14,監視,22
15,資金,20
16,成長,20
17,資産,19
18,時間,18
19,主要,18
20,触媒,17
21,低下,16
22,賃金,16
23,上昇,16
24,利益,15
25,XRP,15
26,米国,14
27,ロジック,13
28,前提,13
29,下落,13
30,判断,13
31,需要,13
32,株価,13
33,局面,13
34,インフレ,13
35,適用,12
36,推奨,12
37,不明,11
38,関連,11
39,発表,11
40,価格,10
41,長期,10
42,連続,10
43,赤字,10
44,決算,10
45,戦略,9
46,収益,9
47,売却,9
48,レジーム,8
49,依存,8
50,供給,8
51,売上,8
52,懸念,8
53,保有,8
54,発生,8
55,環境,8
56,材料,8
57,毛利,8
58,銀行,7
59,動向,7
60,中国,7
61,軍事,7
62,株主,7
63,ニュース,7
64,利息,7
65,理由,6
66,ルール,6
67,終了,6
68,日本,6
69,国内,6
70,ない,6
71,業界,6
72,損失,6
73,確実,6
74,能力,6
75,地政学,6
76,価値,6
77,統計,6
78,金融,6
79,製造,6
80,反応,6
81,水面,6
82,利回り,6
83,ローカル,6
84,台湾,6
85,BTC,6
86,物件,5
87,個人,5
88,影響,5
89,見解,5
90,Nvidia,5
91,GPU,5
92,リード,5
93,ラグ,5
94,時点,5
95,経済,5
96,指標,5
97,悪化,5
98,イラン,5
99,お金,5
100,実質,5
101,雇用,5
102,利下げ,5
103,伸び,5
104,確認,5
105,NAND,5
106,半導体,5
107,顧客,5
108,想定,5
109,サプライズ,5
110,the,5
111,代理,5
112,流入,5
113,不動産,4
114,返済,4
115,考慮,4
116,Amazon,4
117,インフラ,4
118,事実,4
119,リターン,4
120,先行,4
121,防衛,4
122,兵器,4
123,以降,4
124,銘柄,4
125,減少,4
126,サプライ,4
127,チェーン,4
128,ファンダメンタルズ,4
129,成本,4
130,時候,4
131,高金利,4
132,暴落,4
133,全員,4
134,プラス,4
135,自発,4
136,離職,4
137,圧力,4
138,期待,4
139,推論,4
140,コスト,4
141,構造,4
142,直接,4
143,競争,4
144,参入,4
145,Apple,4
146,訴訟,4
147,電池,4
148,炭素,4
149,繊維,4
150,ノズル,4
151,案件,4
152,業績,4
153,local,4
154,グローバル,4
155,TSMC,4
156,ビジネス,4
157,売買,4
158,機関,4
159,ETF,4
160,利用,3
161,計画,3
162,法律,3
163,当局,3
164,世界,3
165,構築,3
166,独占,3
167,総額,3
168,絶対,3
169,バブル,3
170,低く,3
171,産業,3
172,最大,3
173,外国,3
174,政策,3
175,ドイツ,3
176,左側,3
177,交易,3
178,個別,3
179,堅調,3
180,所以,3
181,什麼,3
182,食品,3
183,会社,3
184,傾向,3
185,インデックス,3
186,現金,3
187,金利,3
188,自体,3
189,大きく,3
190,利上げ,3
191,解雇,3
192,分析,3
193,コアコンピタンス,3
194,維持,3
195,変化,3
196,急増,3
197,状態,3
198,転換,3
199,上限,3
200,規制,3
