rank,word,count
1,SCHD,3838
2,信託,3838
3,登場,109
4,条件,60
5,信頼,58
6,発言,56
7,期間,42
8,観察,40
9,上昇,40
10,市場,39
11,金利,31
12,リスク,28
13,タイプ,28
14,アクション,27
15,株価,25
16,相関,24
17,価格,23
18,資産,23
19,前提,20
20,米国,19
21,監視,18
22,インフレ,18
23,企業,18
24,資金,18
25,下落,17
26,低下,16
27,長期,16
28,預金,16
29,主要,15
30,適用,15
31,推奨,15
32,時間,14
33,ロジック,14
34,原油,14
35,銘柄,14
36,触媒,13
37,連動,13
38,利回り,13
39,リード,13
40,ラグ,13
41,the,12
42,戦略,12
43,ドル,12
44,AI,12
45,継続,11
46,局面,11
47,積立,11
48,保有,11
49,半導体,11
50,依存,10
51,高い,10
52,動向,10
53,相場,10
54,住宅,10
55,ローン,10
56,集中,10
57,レジーム,9
58,金融,9
59,損失,9
60,電池,9
61,リン,9
62,供給,9
63,不明,9
64,銀行,9
65,売却,8
66,ルール,8
67,今日,8
68,トレンド,8
69,固定,8
70,LFP,8
71,多く,8
72,価値,8
73,日本,8
74,利率,8
75,募集,8
76,平均,8
77,返済,8
78,and,7
79,安定,7
80,コスト,7
81,暴落,7
82,回避,7
83,確認,7
84,発表,7
85,総額,7
86,インデックス,7
87,国債,7
88,分析,7
89,押し目,7
90,メモリー,7
91,元本,7
92,実質,7
93,SNAP,6
94,個別,6
95,ない,6
96,心理,6
97,判断,6
98,プラス,6
99,先行,6
100,指標,6
101,高値,6
102,為替,6
103,SBI,6
104,日銀,6
105,個人,6
106,実勢,6
107,購入,6
108,セクター,6
109,勢い,6
110,時価,6
111,世界,6
112,環境,6
113,以降,6
114,形成,6
115,小型,6
116,大型,6
117,装置,6
118,短期,5
119,技術,5
120,比率,5
121,サポート,5
122,機関,5
123,崩れ,5
124,in,5
125,ポジション,5
126,維持,5
127,効果,5
128,時点,5
129,重要,5
130,経済,5
131,回復,5
132,to,5
133,時期,5
134,変動,5
135,政策,5
136,中東,5
137,緩和,5
138,ダウ,5
139,SpaceX,5
140,SaaS,5
141,運用,5
142,購買,5
143,日経,5
144,Snap,4
145,only,4
146,圧力,4
147,by,4
148,調整,4
149,反応,4
150,行動,4
151,転換,4
152,加速,4
153,通常,4
154,中略,4
155,動き,4
156,急騰,4
157,雇用,4
158,統計,4
159,労働,4
160,参加,4
161,賃金,4
162,生産,4
163,向上,4
164,非常,4
165,徹底,4
166,需要,4
167,拡大,4
168,製品,4
169,肥料,4
170,for,4
171,いい,4
172,政権,4
173,商品,4
174,リッジアイ,4
175,直近,4
176,急激,4
177,長く,4
178,決算,4
179,急落,4
180,配分,4
181,確実,4
182,キヤノン,4
183,進化,4
184,リターン,4
185,成長,4
186,物価,4
187,低い,4
188,分散,4
189,一定,4
190,口数,4
191,指数,4
192,ナフサ,4
193,イラン,4
194,強硬,4
195,ファンド,4
196,TOPIX,4
197,常態,4
198,製造,4
199,Inc,3
200,buying,3
