rank,word,count
1,経営,3712
2,解約,3705
3,解決,1857
4,顧客,1856
5,課題,1856
6,特徴,1852
7,難しく,585
8,信頼,130
9,発言,129
10,条件,119
11,AI,92
12,リスク,73
13,市場,73
14,アクション,70
15,観察,67
16,価格,66
17,上昇,65
18,期間,61
19,相関,59
20,タイプ,58
21,監視,48
22,利益,48
23,主要,44
24,成長,42
25,銘柄,42
26,the,41
27,時間,39
28,触媒,38
29,関連,37
30,前提,34
31,推奨,33
32,ロジック,33
33,適用,32
34,連動,31
35,株価,31
36,トレンド,31
37,需要,31
38,依存,30
39,長期,30
40,日本,29
41,判断,28
42,レジーム,28
43,平均,28
44,コスト,27
45,資産,27
46,to,25
47,半導体,25
48,戦略,24
49,局面,23
50,原油,22
51,事業,21
52,指標,21
53,日経,21
54,影響,20
55,電力,20
56,資金,20
57,短期,19
58,下落,19
59,構造,19
60,中国,19
61,拡大,19
62,of,18
63,企業,18
64,個別,18
65,継続,18
66,経済,18
67,動向,18
68,サーバー,18
69,確認,17
70,インフラ,17
71,米国,17
72,指数,17
73,相場,17
74,GPU,17
75,崩れ,16
76,直近,16
77,情勢,16
78,原材料,16
79,要因,16
80,金利,16
81,調整,15
82,中東,15
83,先行,15
84,ETF,15
85,コイン,15
86,押し目,15
87,ライン,15
88,収益,14
89,物価,14
90,ビット,14
91,技術,14
92,建設,14
93,急騰,13
94,高い,13
95,サポート,13
96,we,13
97,and,12
98,景気,12
99,業績,12
100,高騰,12
101,地政学,12
102,圧力,12
103,MLCC,12
104,評価,12
105,一時,12
106,ホルムズ,12
107,海峡,12
108,維持,12
109,回収,12
110,this,11
111,決算,11
112,時点,11
113,圧迫,11
114,生産,11
115,セクター,11
116,ボラティリティ,11
117,動き,11
118,リード,11
119,ラグ,11
120,stock,10
121,is,10
122,that,10
123,過去,10
124,信用,10
125,環境,10
126,供給,10
127,産業,10
128,緊張,10
129,先物,10
130,ゴールド,10
131,変動,10
132,製造,10
133,センター,10
134,保険,10
135,up,9
136,in,9
137,have,9
138,不明,9
139,個人,9
140,考慮,9
141,悪化,9
142,ニュース,9
143,変化,9
144,進行,9
145,追求,9
146,想定,9
147,ドル,9
148,保証,9
149,エネルギー,9
150,能力,9
151,ロシア,9
152,重要,9
153,強い,9
154,低下,9
155,国債,9
156,NEAR,9
157,at,8
158,懸念,8
159,倍率,8
160,改革,8
161,改善,8
162,向上,8
163,製品,8
164,法的,8
165,増加,8
166,付近,8
167,移動,8
168,世界,8
169,名義,8
170,short,7
171,高値,7
172,活用,7
173,将来,7
174,消費,7
175,政策,7
176,売上,7
177,不足,7
178,競争,7
179,急落,7
180,増大,7
181,転換,7
182,飲食,7
183,PBR,7
184,非常,7
185,設備,7
186,封鎖,7
187,記憶,7
188,フジクラ,7
189,ナスダック,7
190,取引,7
191,HBM,7
192,恆國際,7
193,販売,7
194,If,6
195,market,6
196,low,6
197,could,6
198,it,6
199,買い,6
200,PER,6
