rank,word,count
1,Leo,10893
2,that,5952
3,急騰,3638
4,to,2995
5,we,2990
6,and,2983
7,on,2980
8,be,2979
9,could,2978
10,So,2978
11,re,2977
12,then,2976
13,now,2975
14,down,2975
15,starting,2974
16,move,2974
17,continuation,2973
18,信頼,96
19,条件,92
20,発言,88
21,市場,69
22,観察,51
23,アクション,50
24,期間,50
25,株価,46
26,局面,46
27,上昇,45
28,インフレ,42
29,リスク,39
30,タイプ,39
31,AI,38
32,金利,35
33,前提,33
34,監視,31
35,時間,31
36,下落,29
37,相関,29
38,適用,27
39,推奨,26
40,ロジック,26
41,触媒,24
42,銘柄,23
43,価格,23
44,短期,23
45,トレンド,22
46,ラグ,21
47,利上げ,21
48,主要,20
49,企業,20
50,リード,20
51,維持,20
52,流動,20
53,日本,20
54,ゴールド,20
55,半導体,19
56,労働,19
57,押し目,18
58,資産,18
59,依存,18
60,価値,18
61,戦略,17
62,FRB,17
63,米国,17
64,不明,16
65,保有,16
66,利益,16
67,レジーム,16
68,会社,16
69,不動産,15
70,関連,14
71,長期,14
72,政策,14
73,キオクシア,14
74,資金,14
75,ETF,14
76,インフラ,13
77,判断,13
78,過去,13
79,サービス,13
80,連動,13
81,ドル,13
82,韓国,13
83,経済,12
84,時価,12
85,総額,12
86,保険,12
87,NVIDIA,12
88,動向,11
89,介入,11
90,出来高,11
91,決算,11
92,将来,11
93,評価,11
94,平均,11
95,力不足,11
96,時代,11
97,QQQ,11
98,the,11
99,Le,11
100,一括,10
101,暴落,10
102,比率,10
103,自社,10
104,上場,10
105,高い,10
106,バブル,10
107,銀行,10
108,誘導,10
109,為替,10
110,eo,10
111,急落,9
112,調整,9
113,ルール,9
114,成長,9
115,展開,9
116,動き,9
117,考慮,9
118,高値,9
119,ロックアップ,9
120,崩壊,9
121,中心,9
122,変動,9
123,物価,9
124,サイクル,8
125,継続,8
126,減少,8
127,強い,8
128,プライム,8
129,売却,8
130,ライン,8
131,IPO,8
132,解除,8
133,引き締め,8
134,ニュース,8
135,テック,8
136,負債,8
137,月末,8
138,広告,8
139,it,8
140,レンジ,8
141,設備,7
142,CapEx,7
143,活用,7
144,大口,7
145,現金,7
146,指標,7
147,基準,7
148,親子,7
149,直近,7
150,目減り,7
151,SNS,7
152,GPU,7
153,ネットワーク,7
154,セクター,7
155,you,7
156,拡大,6
157,先行,6
158,一時,6
159,形成,6
160,チャンス,6
161,個別,6
162,準備,6
163,利下げ,6
164,回避,6
165,セコム,6
166,TOB,6
167,実施,6
168,プレミアム,6
169,買い,6
170,確定,6
171,取引,6
172,発生,6
173,需要,6
174,自体,6
175,預金,6
176,時期,6
177,区域,6
178,中長期,6
179,アメリカ,6
180,Cisco,6
181,if,6
182,ブレイクアウト,6
183,効果,6
184,日経,6
185,ステーキング,6
186,of,6
187,リターン,6
188,ハイパースケーラー,5
189,問題,5
190,状態,5
191,サイン,5
192,開始,5
193,金融,5
194,機能,5
195,業績,5
196,明確,5
197,新規,5
198,通常,5
199,警戒,5
200,投機,5
