rank,word,count
1,条件,9
2,市場,8
3,競合,7
4,EB,7
5,申請,7
6,信頼,6
7,供給,5
8,発言,5
9,移民,5
10,米国,5
11,価格,4
12,適用,4
13,推奨,4
14,アクション,4
15,ブランド,4
16,ロジック,4
17,前提,4
18,企業,4
19,定義,3
20,プレミアム,3
21,他社,3
22,製品,3
23,独自,3
24,価値,3
25,顧客,3
26,統合,3
27,就労,3
28,ai,2
29,戦略,2
30,ルール,2
31,優位,2
32,同等,2
33,希少,2
34,コスト,2
35,自社,2
36,チャネル,2
37,シェア,2
38,資産,2
39,構築,2
40,観察,2
41,チェーン,2
42,安定,2
43,実績,2
44,経営,2
45,新規,2
46,参入,2
47,完了,2
48,値上げ,2
49,號之前,2
50,如果你,2
51,嘅話,2
52,留学,2
53,子供,2
54,讀緊書,2
55,佢可以,2
56,爆劇推,1
57,穿越成,1
58,落魄,1
59,家族,1
60,掃地出,1
61,竟靠三,1
62,錢打造,1
63,江南,1
64,漫剧,1
65,结文,1
66,热门短,1
67,drama,1
68,爽剧,1
69,獲得,1
70,既存,1
71,提供,1
72,機能,1
73,付加,1
74,向上,1
75,製造,1
76,依存,1
77,設定,1
78,最高,1
79,ない,1
80,高い,1
81,制限,1
82,維持,1
83,キー,1
84,モノ,1
85,そのもの,1
86,天下,1
87,代替,1
88,大量,1
89,買収,1
90,支配,1
91,技術,1
92,アクセス,1
93,基盤,1
94,完全,1
95,排除,1
96,倒産,1
97,傘下,1
98,それぞれ,1
99,強み,1
100,最大,1
101,人材,1
102,吸収,1
103,時間,1
104,効率,1
105,徹底,1
106,如把它,1
107,変成,1
108,自己,1
109,有価,1
110,活着,1
111,盟友,1
112,叔的手,1
113,憑空,1
114,個人,1
115,做不成,1
116,組織,1
117,文化,1
118,不一致,1
119,陳腐,1
120,相関,1
121,タイプ,1
122,リード,1
123,ラグ,1
124,歴史,1
125,大口,1
126,公的,1
127,機関,1
128,権力,1
129,担保,1
130,取引,1
131,優先,1
132,決定,1
133,期間,1
134,比較,1
135,根基,1
136,深厚,1
137,貨穏定,1
138,成熟,1
139,銷售渠,1
140,穏定的,1
141,継続,1
142,証明,1
143,体制,1
144,システム,1
145,不可欠,1
146,判断,1
147,大洗,1
148,暴增至,1
149,最後,1
150,衝刺,1
151,如何,1
152,幫仔女,1
153,跳過工,1
154,簽證抽,1
155,幫到你,1
156,Jenny,1
157,タイミング,1
158,米ドル,1
159,catch,1
160,呢個,1
161,嘅最低,1
162,就要喺,1
163,完成,1
164,你嘅申,1
165,以降,1
166,実施,1
167,確保,1
168,併行,1
169,コンカレント,1
170,ファイリング,1
171,ビザ,1
172,抽選,1
173,如果佢,1
174,已經係,1
175,concurrent,1
176,嘅申請,1
177,咁當然,1
178,哋呢度,1
179,就會同,1
180,哋美國,1
181,嘅法律,1
182,部門,1
183,legal,1
184,嘅同事,1
185,會幫手,1
186,你個細,1
187,instead,1
188,of,1
189,唔知,1
190,其實你,1
191,唔代表,1
192,做嘢,1
193,當然未,1
194,必個個,1
195,其實佢,1
196,嘅簽證,1
197,俾佢去,1
198,做一年,1
199,嘅嘢,1
200,就唔係,1
