rank,word,count
1,発言,129
2,信頼,128
3,条件,121
4,リスク,86
5,AI,84
6,アクション,78
7,上昇,66
8,観察,65
9,市場,64
10,期間,64
11,価格,59
12,金利,56
13,相関,52
14,時間,51
15,タイプ,50
16,銘柄,49
17,利益,47
18,主要,46
19,触媒,45
20,株価,45
21,平均,44
22,前提,39
23,局面,38
24,監視,38
25,企業,37
26,適用,34
27,資金,33
28,推奨,33
29,ロジック,33
30,長期,32
31,下落,31
32,短期,30
33,相場,30
34,日経,30
35,決算,30
36,関連,29
37,利上げ,29
38,連動,28
39,成長,28
40,資産,28
41,半導体,28
42,戦略,26
43,不明,25
44,判断,24
45,依存,22
46,経済,22
47,期待,22
48,暴落,21
49,需要,21
50,セクター,21
51,継続,19
52,コスト,19
53,日銀,19
54,トレンド,18
55,崩れ,18
56,価値,18
57,レジーム,18
58,比率,18
59,メモリ,18
60,ルール,17
61,急落,17
62,国債,17
63,悪化,16
64,調整,16
65,日本,16
66,地合い,16
67,個別,15
68,業績,15
69,設備,15
70,米国,15
71,マイクロン,15
72,資本,15
73,債券,15
74,PER,15
75,四半期,14
76,確認,14
77,インフレ,14
78,製造,14
79,利回り,14
80,ライン,13
81,押し目,13
82,一時,13
83,売上,13
84,発生,13
85,営業,13
86,供給,13
87,収益,13
88,マクロ,13
89,発表,12
90,動向,12
91,バブル,12
92,崩壊,12
93,高い,12
94,政府,12
95,材料,12
96,ゴールド,12
97,指数,12
98,フジクラ,11
99,中期,11
100,転嫁,11
101,政策,11
102,IPO,11
103,移動,11
104,傾向,11
105,需給,11
106,レバレッジ,11
107,空売り,11
108,廃盤,11
109,取引,10
110,ポイント,10
111,将来,10
112,世界,10
113,時点,10
114,本業,10
115,現金,10
116,規模,10
117,実質,10
118,販売,10
119,通貨,9
120,急騰,9
121,環境,9
122,予想,9
123,回復,9
124,回避,9
125,減少,9
126,機能,9
127,保有,9
128,売却,9
129,分野,9
130,タイミング,9
131,シルバー,9
132,商品,9
133,強い,9
134,メーカー,9
135,レゴ,9
136,公式,8
137,分析,8
138,注目,8
139,転換,8
140,以降,8
141,指標,8
142,高く,8
143,信託,8
144,拡大,8
145,巨大,8
146,過去,8
147,ドル,8
148,事業,8
149,高値,8
150,スピード,8
151,購入,8
152,最大,8
153,返済,8
154,不動産,8
155,家賃,8
156,均等,8
157,変動,7
158,懸念,7
159,検討,7
160,工場,7
161,稼働,7
162,先行,7
163,大型,7
164,急増,7
165,警戒,7
166,要因,7
167,加速,7
168,インフラ,7
169,想定,7
170,牽引,7
171,防衛,7
172,電力,7
173,ニュース,7
174,直近,7
175,監理,7
176,ノイズ,7
177,ファンダメンタルズ,7
178,HBM,7
179,集中,7
180,生産,7
181,製品,7
182,実物,7
183,ファンド,7
184,融資,7
185,ヒゲ,7
186,電線,7
187,マンション,7
188,債務,7
189,明確,6
190,一定,6
191,サポート,6
192,最新,6
193,切削,6
194,工具,6
195,予測,6
196,会社,6
197,計算,6
198,契約,6
199,サイン,6
200,確保,6
